职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
算法工程师,1.9万-2.2万,余杭,1-3年,本科,Python,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40496224506.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,19000.0,22000.0
研究院-测试工程师,1.1万-2万 · 15薪,滨江,1-3年,本科,C++、Python、功能测试,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40584665815.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,13750.0,25000.0
评测工程师/评测高级工程师(J10132),1万-1.5万,拱墅,经验不限,本科,功能测试、自动化测试、性能测试、Java、Python、Jmeter、接受出差,杭州新中大科技,http://jobs.zhaopin.com/CC000573040J40475853213.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,10000.0,15000.0
电商库存管理专员,5千-8千 · 13薪,滨江,1-3年,本科,Python、SQL、订补货管理、库存计划、数据分析与处理、需求预测、供应链管理,朴朴超市,http://jobs.zhaopin.com/CC408522280J40515041010.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,5416.666666666667,8666.666666666666
软件测试,9千-1.2万,余杭,3-5年,本科,自动化测试、Python、Java,易宝软件科技(南京)有限公司,http://jobs.zhaopin.com/CC509286380J40489888706.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,9000.0,12000.0
生信分析工程师,8千-1.5万,钱塘,经验不限,硕士,R语言、Python、单细胞、基因组学、转录组学、生信绘图,浙江万辉生物医药有限公司,http://jobs.zhaopin.com/CC817479050J40244491207.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,8000.0,15000.0
大数据运维岗位,1.4万-1.9万,萧山,3-5年,本科,Hadoop、Spark、HBase、Flink、Java、Python、FLINK+HOLO,润和软件,http://jobs.zhaopin.com/CC171774410J40545900214.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,14000.0,19000.0
数据库内核开发工程师,1.6万-2.8万,滨江,3-5年,本科,NoSQL、C/C++、MySQL、PostgreSQL、SQL Server、NEWSQL,北京煜象软件技术有限公司杭州分公司,http://jobs.zhaopin.com/CCL1373479310J40529292707.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,16000.0,28000.0
DevOps 运维工程师,1.5万-2万,余杭,经验不限,本科,Linux、Zabbix、Kubernetes、Docker、Ansible、Python、DevOps,国信蓝桥教育科技股份有限公司,http://jobs.zhaopin.com/CCL1365199150J40267681215.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,15000.0,20000.0
大数据高级架构师,3万-4万,拱墅,3-5年,本科,数据治理、数据架构、数据中台、数仓开发、数据平台开发,杭州客原网络科技集团有限公司,http://jobs.zhaopin.com/CCL1477245810J40474552413.htm?refcode=4019&srccode=401901&preactionid=656d0a39-1dac-45c8-8c8c-0876345e3c2c,杭州,python,30000.0,40000.0
