职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
惯性算法工程师 智能光电创新中心,1.3万-2.5万,嘉兴-秀洲区,经验不限,硕士,导航算法、传感器、传感器融合、定位算法,浙江大学嘉兴研究院,http://jobs.zhaopin.com/CCL1320974630J40277076314.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
算法工程师(J10396),1.3万-1.9万,嘉兴,1-3年,硕士,MATLAB、C++,中国电子科技集团公司第三十六研究所,http://jobs.zhaopin.com/CC143214040J40054237514.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
电力电子驱动算法工程师(J13087),2万-3万,嘉兴-秀洲区,3-5年,硕士,电力电子整流、逆变算法,浙江天正电气股份有限公司,http://jobs.zhaopin.com/CC178939210J40487439711.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
机器人算法,1.5万-3万 · 14薪,嘉兴-桐乡市,经验不限,本科,机器人算法、运动控制算法、运动规划、动力控制、医疗机器人、工业机器人,北京飞燕四海医疗科技有限责任公司,http://jobs.zhaopin.com/CCL1398542910J40502725414.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
算法类岗,1.5万-2万,嘉兴,无经验,硕士,大数据算法,中国电子科技集团公司第三十六研究所,http://jobs.zhaopin.com/CC143214042J00573835905.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
深度算法工程师(J13085),2万-3万,嘉兴-秀洲区,3-5年,硕士,C++、Java,浙江天正电气股份有限公司,http://jobs.zhaopin.com/CC178939210J40487415611.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
嵌入式软件工程师,2万-3万,嘉兴-海宁市,3-5年,本科,STM ARM DSP嵌入式系统,海宁纳安智能驱动有限公司,http://jobs.zhaopin.com/CCL1302330170J40431299810.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
嵌入式软件工程师,1.7万-3万,嘉兴-平湖市,经验不限,本科,PIC单片机,深圳易宝软件有限公司,http://jobs.zhaopin.com/CC120109940J40477055513.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
图像算法工程师,1.5万-2.5万 · 14薪,嘉兴-海宁市,1-3年,本科,OpenCV、图像处理,拓荆键科(海宁)半导体设备有限公司,http://jobs.zhaopin.com/CCL1290403000J40394479403.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
信号处理算法工程师,1.5万-2.2万,嘉兴-南湖区,经验不限,硕士,信号处理、C++、Python、MATLAB,嘉兴慧和智能科技有限公司,http://jobs.zhaopin.com/CCL1343341100J40223149113.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
